"cuenta";"descripcion";"cuentaesp"
"1";"ACTIVO";""
"11";"ACTIVO CORRIENTE";""
"111";"EFECTIVO Y EQUIVALENTES AL EFECTIVO";""
"1111";"CAJA";"CAJA"
"1112";"BANCOS";""
"1113";"INVERSIONES FINANCIERAS DE CORTO PLAZO";""
"112";"ACTIVOS FINANCIEROS Y CUENTAS POR COBRAR";""
"1121";"CLIENTES Y DOCUMENTOS POR COBRAR";"CLIENT"
"1122";"OTRAS CUENTAS POR COBRAR";""
"1123";"ACTIVOS POR IVA";""
"1124";"ACTIVOS POR IMPUESTO A LA RENTA DE AÑOS ANTERIORES";""
"1125";"ACTIVOS POR IMPUESTO A LA RENTA DEL AÑO CORRIENTE";""
"1126";"CUENTAS POR COBRAR A PARTES RELACIONADAS";""
"113";"INVENTARIOS";""
"1131";"INVENTARIOS PARA LA VENTA";"INV"
"1132";"MATERIAS PRIMAS, SUMINISTROS Y MATERIALES";""
"1133";"PRODUCTOS EN PROCESO";""
"1134";"PRODUCTOS TERMINADOS";""
"1135";"MERCADERÍAS EN TRÁNSITO";""
"1136";"INVENTARIOS DE CONSTRUCCIÓN";""
"1137";"ACTIVOS BIOLÓGICOS CORRIENTES";""
"114";"SERVICIOS Y OTROS PAGOS ANTICIPADOS";""
"1141";"PAGOS ANTICIPADOS";""
"1142";"ANTICIPOS A PROVEEDORES";"ANTPRO"
"1143";"OTROS ACTIVOS CORRIENTES";""
"115";"ACTIVOS MANTENIDOS PARA LA VENTA";""
"1151";"ACTIVOS NO CORRIENTES MANTENIDOS PARA LA VENTA";""
"12";"ACTIVO NO CORRIENTE";""
"121";"PROPIEDADES, PLANTA Y EQUIPO NO DEPRECIABLES";""
"1211";"TERRENOS";""
"1212";"CONSTRUCCIONES EN CURSO";""
"122";"PROPIEDADES, PLANTA Y EQUIPO DEPRECIABLES";""
"1221";"EDIFICIOS";""
"1222";"MUEBLES Y ENSERES";""
"1223";"EQUIPO DE OFICINA";""
"1224";"EQUIPO DE COMPUTACIÓN";""
"1225";"VEHÍCULOS Y EQUIPO DE TRANSPORTE";""
"1226";"MAQUINARIA Y EQUIPO";""
"1227";"INSTALACIONES";""
"1228";"REPUESTOS, HERRAMIENTAS Y ACCESORIOS";""
"1229";"OTRAS PROPIEDADES, PLANTA Y EQUIPO";""
"123";"ACTIVOS INTANGIBLES";""
"1231";"INTANGIBLES, AMORTIZACIÓN Y DETERIORO";""
"124";"PROPIEDADES DE INVERSIÓN";""
"1241";"PROPIEDADES DE INVERSIÓN";""
"125";"ACTIVOS BIOLÓGICOS NO CORRIENTES";""
"1251";"ACTIVOS BIOLÓGICOS";""
"126";"ACTIVOS POR DERECHO DE USO";""
"1261";"ACTIVOS POR DERECHO DE USO";""
"127";"ACTIVOS FINANCIEROS NO CORRIENTES";""
"1271";"INVERSIONES Y CUENTAS POR COBRAR NO CORRIENTES";""
"128";"ACTIVOS POR IMPUESTOS DIFERIDOS";""
"1281";"IMPUESTO A LA RENTA DIFERIDO - ACTIVO";""
"129";"OTROS ACTIVOS NO CORRIENTES";""
"1291";"OTROS ACTIVOS NO CORRIENTES";""
"2";"PASIVO";""
"21";"PASIVO CORRIENTE";""
"211";"CUENTAS Y DOCUMENTOS POR PAGAR COMERCIALES";""
"2111";"PROVEEDORES LOCALES";"PROVEE"
"2112";"PROVEEDORES DEL EXTERIOR";""
"2113";"PROVEEDORES RELACIONADOS";""
"212";"OTRAS OBLIGACIONES CORRIENTES";""
"2121";"OBLIGACIONES CON LA ADMINISTRACIÓN TRIBUTARIA";""
"2122";"OBLIGACIONES CON EL IESS";""
"2123";"OBLIGACIONES LABORALES";""
"2124";"OBLIGACIONES FINANCIERAS CORRIENTES";""
"2125";"OBLIGACIONES CON SOCIOS Y ACCIONISTAS";""
"2126";"PROVISIONES CORRIENTES";""
"2127";"ARRENDAMIENTOS - PORCIÓN CORRIENTE";""
"2128";"CUENTAS POR PAGAR A PARTES RELACIONADAS";""
"2129";"OTROS PASIVOS CORRIENTES";""
"22";"PASIVO NO CORRIENTE";""
"221";"OBLIGACIONES FINANCIERAS A LARGO PLAZO";""
"2211";"PRÉSTAMOS BANCARIOS";""
"2212";"HIPOTECAS Y OTRAS GARANTÍAS";""
"222";"CUENTAS Y DOCUMENTOS POR PAGAR NO CORRIENTES";""
"2221";"CUENTAS POR PAGAR A LARGO PLAZO";""
"223";"PASIVOS POR ARRENDAMIENTOS NO CORRIENTES";""
"2231";"ARRENDAMIENTOS A LARGO PLAZO";""
"224";"BENEFICIOS A EMPLEADOS NO CORRIENTES";""
"2241";"JUBILACIÓN PATRONAL Y DESAHUCIO";""
"225";"PROVISIONES NO CORRIENTES";""
"2251";"PROVISIONES A LARGO PLAZO";""
"226";"PASIVOS POR IMPUESTOS DIFERIDOS";""
"2261";"IMPUESTO A LA RENTA DIFERIDO - PASIVO";""
"227";"CUENTAS POR PAGAR RELACIONADAS NO CORRIENTES";""
"2271";"PARTES RELACIONADAS A LARGO PLAZO";""
"228";"INGRESOS DIFERIDOS NO CORRIENTES";""
"2281";"INGRESOS Y SUBVENCIONES DIFERIDOS A LARGO PLAZO";""
"229";"OTROS PASIVOS NO CORRIENTES";""
"2291";"OTROS PASIVOS A LARGO PLAZO";""
"3";"PATRIMONIO NETO";""
"31";"CAPITAL Y APORTES";""
"311";"CAPITAL SOCIAL";""
"3111";"CAPITAL SUSCRITO O ASIGNADO";""
"3112";"CAPITAL SUSCRITO NO PAGADO Y ACCIONES PROPIAS";""
"312";"APORTES PARA FUTURA CAPITALIZACIÓN";""
"3121";"APORTES DE SOCIOS O ACCIONISTAS";""
